Sample ID,Field ID,Barcode Compliant,Flagged Record,Collection Date,Year,Identification,Extra Info
2021_13_18_197_3,2021_13_18_197_3,Yes,,09-Sep-21,2021,Stenobrachius leucopsarus,Set 18
2021_13_18_197_4,2021_13_18_197_4,Yes,,09-Sep-21,2021,Notoscopelus,Set 18
2021_13_18_197_5,2021_13_18_197_5,Yes,,09-Sep-21,2021,Stenobrachius leucopsarus,Set 18
2021_13_18_197_6,2021_13_18_197_6,Yes,,09-Sep-21,2021,Stenobrachius leucopsarus,Set 18
2021_13_18_197_7,2021_13_18_197_7,No,,09-Sep-21,2021,Myctophidae,Set 18
2021_13_18_197_8,2021_13_18_197_8,No,,09-Sep-21,2021,Myctophidae,Set 18
2021_13_18_197_9,2021_13_18_197_9,Yes,Yes,09-Sep-21,2021,Lampanyctus regalis,Set 18
2021_13_18_197_10,2021_13_18_197_10,Yes,Yes,09-Sep-21,2021,Lampanyctus regalis,Set 18
2021_13_18_653_1,2021_13_18_653_1,Yes,,09-Sep-21,2021,Gonostomatidae,Set 18
2021_13_18_167_1,2021_13_18_167_1,Yes,,09-Sep-21,2021,Tactostoma macropus,Set 18
2021_13_18_167_2,2021_13_18_167_2,Yes,,09-Sep-21,2021,Tactostoma macropus,Set 18
2021_13_18_167_3,2021_13_18_167_3,Yes,,09-Sep-21,2021,Tactostoma macropus,Set 18
2021_13_18_167_4,2021_13_18_167_4,Yes,,09-Sep-21,2021,Tactostoma macropus,Set 18
2021_13_18_167_5,2021_13_18_167_5,Yes,,09-Sep-21,2021,Tactostoma macropus,Set 18
2021_13_18_165_1,2021_13_18_165_1,Yes,,09-Sep-21,2021,Bathophilus flemingi,Set 18
2022_18_842_1,2022_18_842_1,Yes,,31-Aug-22,2022,Nansenia,Set 18
2022_18_201_1,2022_18_201_1,Yes,Yes,31-Aug-22,2022,Lampadena,Set 18
2022_18_152_1,2022_18_152_1,Yes,,31-Aug-22,2022,Nansenia,Set 18
2022_18_152_2,2022_18_152_2,Yes,,31-Aug-22,2022,Nansenia,Set 18
2022_18_152_3,2022_18_152_3,Yes,,31-Aug-22,2022,Nansenia,Set 18
2022_18_152_4,2022_18_152_4,Yes,,31-Aug-22,2022,Nansenia,Set 18
2022_18_152_5,2022_18_152_5,Yes,,31-Aug-22,2022,Nansenia,Set 18
2022_18_202_1,2022_18_202_1,Yes,,31-Aug-22,2022,Tarletonbeania crenularis,Set 18
2022_18_202_2,2022_18_202_2,Yes,,31-Aug-22,2022,Tarletonbeania crenularis,Set 18
2022_18_202_3,2022_18_202_3,Yes,,31-Aug-22,2022,Tarletonbeania crenularis,Set 18
2022_18_202_4,2022_18_202_4,Yes,,31-Aug-22,2022,Tarletonbeania crenularis,Set 18
2022_18_202_5,2022_18_202_5,Yes,,31-Aug-22,2022,Tarletonbeania crenularis,Set 18
2022_18_202_6,2022_18_202_6,Yes,,31-Aug-22,2022,Tarletonbeania crenularis,Set 18
2022_18_202_7,2022_18_202_7,Yes,,31-Aug-22,2022,Tarletonbeania crenularis,Set 18
2022_18_202_8,2022_18_202_8,Yes,,31-Aug-22,2022,Tarletonbeania crenularis,Set 18
2022_18_202_9,2022_18_202_9,Yes,,31-Aug-22,2022,Tarletonbeania crenularis,Set 18
2022_18_202_10,2022_18_202_10,Yes,,31-Aug-22,2022,Tarletonbeania crenularis,Set 18
2022_19_199_1,2022_19_199_1,Yes,,01-Sep-22,2022,Stenobrachius leucopsarus,Set 19
2021_13_2_185_1,2021_13_2_185_1,Yes,,22-Aug-21,2021,Stenobrachius leucopsarus,Set 2
2021_13_2_185_2,2021_13_2_185_2,Yes,,22-Aug-21,2021,Stenobrachius leucopsarus,Set 2
2021_13_2_185_3,2021_13_2_185_3,Yes,,22-Aug-21,2021,Lampanyctus regalis,Set 2
2021_13_2_185_4,2021_13_2_185_4,Yes,,22-Aug-21,2021,Stenobrachius leucopsarus,Set 2
2021_13_2_185_5,2021_13_2_185_5,Yes,,22-Aug-21,2021,Stenobrachius leucopsarus,Set 2
2021_13_2_185_6,2021_13_2_185_6,Yes,,22-Aug-21,2021,Lampanyctus regalis,Set 2
2021_13_2_185_7,2021_13_2_185_7,Yes,,22-Aug-21,2021,Stenobrachius leucopsarus,Set 2
2021_13_2_185_8,2021_13_2_185_8,Yes,,22-Aug-21,2021,Stenobrachius leucopsarus,Set 2
2021_13_2_185_9,2021_13_2_185_9,Yes,,22-Aug-21,2021,Stenobrachius leucopsarus,Set 2
2021_13_2_185_10,2021_13_2_185_10,Yes,,22-Aug-21,2021,Stenobrachius leucopsarus,Set 2
2021_13_2_189_1,2021_13_2_189_1,Yes,,22-Aug-21,2021,Diaphus theta,Set 2
2021_13_2_189_2,2021_13_2_189_2,Yes,,22-Aug-21,2021,Diaphus theta,Set 2
2021_13_2_189_3,2021_13_2_189_3,Yes,,22-Aug-21,2021,Diaphus theta,Set 2
2021_13_2_189_4,2021_13_2_189_4,Yes,,22-Aug-21,2021,Diaphus theta,Set 2
2021_13_2_189_5,2021_13_2_189_5,Yes,,22-Aug-21,2021,Diaphus theta,Set 2
2021_13_2_189_6,2021_13_2_189_6,Yes,,22-Aug-21,2021,Diaphus theta,Set 2
2021_13_2_189_7,2021_13_2_189_7,Yes,,22-Aug-21,2021,Diaphus theta,Set 2
2021_13_2_189_8,2021_13_2_189_8,Yes,,22-Aug-21,2021,Diaphus theta,Set 2
2021_13_2_189_9,2021_13_2_189_9,Yes,,22-Aug-21,2021,Diaphus theta,Set 2
2021_13_2_189_10,2021_13_2_189_10,Yes,,22-Aug-21,2021,Diaphus theta,Set 2
2022_20_201_1,2022_20_201_1,No,Yes,01-Sep-22,2022,Lampadena,Set 20
2022_20_197_1,2022_20_197_1,Yes,Yes,01-Sep-22,2022,Lampanyctus regalis,Set 20
2022_20_197_2,2022_20_197_2,Yes,,01-Sep-22,2022,Lampanyctus regalis,Set 20
2022_20_197_3,2022_20_197_3,Yes,,01-Sep-22,2022,Stenobrachius leucopsarus,Set 20
2022_20_197_4,2022_20_197_4,Yes,,01-Sep-22,2022,Lampanyctus regalis,Set 20
2022_20_197_5,2022_20_197_5,Yes,,01-Sep-22,2022,Lampanyctus regalis,Set 20
2022_20_197_6,2022_20_197_6,Yes,,01-Sep-22,2022,Lampanyctus regalis,Set 20
2022_20_197_7,2022_20_197_7,Yes,,01-Sep-22,2022,Lampanyctus regalis,Set 20
2022_20_197_8,2022_20_197_8,Yes,,01-Sep-22,2022,Lampanyctus regalis,Set 20
2022_20_136_1,2022_20_136_1,Yes,,01-Sep-22,2022,Nansenia,Set 20
2022_20_136_2,2022_20_136_2,Yes,,01-Sep-22,2022,Nansenia,Set 20
2022_21_087_1,2022_21_087_1,No,,02-Sep-22,2022,Avocettina infans,Set 21
2022_21_087_2,2022_21_087_2,No,,02-Sep-22,2022,Avocettina infans,Set 21
2022_21_136_1,2022_21_136_1,Yes,,02-Sep-22,2022,Nansenia,Set 21
2022_21_152_1,2022_21_152_1,Yes,,02-Sep-22,2022,Bathylagus pacificus,Set 21
2022_21_152_2,2022_21_152_2,No,,02-Sep-22,2022,Pseudobathylagus milleri,Set 21
2022_21_152_3,2022_21_152_3,Yes,,02-Sep-22,2022,Bathylagus pacificus,Set 21
2022_21_152_4,2022_21_152_4,No,,02-Sep-22,2022,Pseudobathylagus milleri,Set 21
2022_21_152_5,2022_21_152_5,Yes,,02-Sep-22,2022,Bathylagus pacificus,Set 21
2022_21_152_6,2022_21_152_6,No,,02-Sep-22,2022,Bathylagus pacificus,Set 21
2022_21_152_7,2022_21_152_7,No,,02-Sep-22,2022,Pseudobathylagus milleri,Set 21
2022_21_152_8,2022_21_152_8,Yes,,02-Sep-22,2022,Pseudobathylagus milleri,Set 21
2022_21_191_1,2022_21_191_1,Yes,Yes,02-Sep-22,2022,Lampanyctus ritteri,Set 21
2022_21_191_2,2022_21_191_2,Yes,Yes,02-Sep-22,2022,Lampanyctus ritteri,Set 21
2022_21_191_3,2022_21_191_3,Yes,Yes,02-Sep-22,2022,Lampanyctus ritteri,Set 21
2022_21_191_4,2022_21_191_4,No,,02-Sep-22,2022,Lampanyctus ritteri,Set 21
2022_21_191_5,2022_21_191_5,Yes,Yes,02-Sep-22,2022,Lampanyctus ritteri,Set 21
2022_21_196_1,2022_21_196_1,Yes,,02-Sep-22,2022,Symbolophorus californiensis,Set 21
2022_21_196_2,2022_21_196_2,Yes,,02-Sep-22,2022,Lampanyctus regalis,Set 21
2022_21_196_3,2022_21_196_3,Yes,Yes,02-Sep-22,2022,Stenobrachius leucopsarus,Set 21
2022_21_199_1,2022_21_199_1,Yes,,02-Sep-22,2022,Stenobrachius nannochir,Set 21
2022_21_199_2,2022_21_199_2,Yes,,02-Sep-22,2022,Stenobrachius nannochir,Set 21
2022_21_199_3,2022_21_199_3,Yes,,02-Sep-22,2022,Stenobrachius nannochir,Set 21
2022_21_202_1,2022_21_202_1,Yes,,02-Sep-22,2022,Tarletonbeania crenularis,Set 21
2022_21_202_2,2022_21_202_2,Yes,,02-Sep-22,2022,Tarletonbeania crenularis,Set 21
2022_21_202_3,2022_21_202_3,Yes,,02-Sep-22,2022,Tarletonbeania crenularis,Set 21
2022_21_202_4,2022_21_202_4,Yes,,02-Sep-22,2022,Tarletonbeania crenularis,Set 21
2022_21_202_5,2022_21_202_5,Yes,,02-Sep-22,2022,Tarletonbeania crenularis,Set 21
2022_21_202_6,2022_21_202_6,Yes,,02-Sep-22,2022,Tarletonbeania crenularis,Set 21
2022_21_202_7,2022_21_202_7,Yes,,02-Sep-22,2022,Tarletonbeania crenularis,Set 21
2022_21_202_8,2022_21_202_8,Yes,,02-Sep-22,2022,Tarletonbeania crenularis,Set 21
2022_21_202_9,2022_21_202_9,Yes,,02-Sep-22,2022,Tarletonbeania crenularis,Set 21
2022_21_202_10,2022_21_202_10,Yes,,02-Sep-22,2022,Tarletonbeania crenularis,Set 21
2022_21_UNK_1,2022_21_UNK_1,Yes,Yes,02-Sep-22,2022,Melamphaes lugubris,Set 21
2022_21_UNK_2,2022_21_UNK_2,Yes,Yes,02-Sep-22,2022,Melamphaes lugubris,Set 21
2021_13_3_185_1,2021_13_3_185_1,Yes,,23-Aug-21,2021,Stenobrachius leucopsarus,Set 3
2021_13_3_189_1,2021_13_3_189_1,Yes,,23-Aug-21,2021,Diaphus theta,Set 3
2021_13_3_189_2,2021_13_3_189_2,Yes,,23-Aug-21,2021,Diaphus theta,Set 3
2021_13_3_189_3,2021_13_3_189_3,Yes,,23-Aug-21,2021,Diaphus theta,Set 3
2021_13_3_189_4,2021_13_3_189_4,No,,23-Aug-21,2021,Diaphus theta,Set 3
2021_13_3_189_5,2021_13_3_189_5,Yes,,23-Aug-21,2021,Diaphus theta,Set 3
2021_13_3_189_6,2021_13_3_189_6,Yes,,23-Aug-21,2021,Diaphus theta,Set 3
2021_13_3_189_7,2021_13_3_189_7,Yes,,23-Aug-21,2021,Diaphus theta,Set 3
2021_13_3_189_8,2021_13_3_189_8,No,,23-Aug-21,2021,Diaphus theta,Set 3
2021_13_3_189_9,2021_13_3_189_9,Yes,,23-Aug-21,2021,Diaphus theta,Set 3
2021_13_3_189_10,2021_13_3_189_10,Yes,,23-Aug-21,2021,Diaphus theta,Set 3
2021_13_4_185_1,2021_13_4_185_1,Yes,,24-Aug-21,2021,Stenobrachius leucopsarus,Set 4
2021_13_4_185_2,2021_13_4_185_2,Yes,,24-Aug-21,2021,Stenobrachius leucopsarus,Set 4
2021_13_4_185_3,2021_13_4_185_3,Yes,,24-Aug-21,2021,Stenobrachius leucopsarus,Set 4
2021_13_4_185_4,2021_13_4_185_4,Yes,,24-Aug-21,2021,Stenobrachius leucopsarus,Set 4
2021_13_4_185_5,2021_13_4_185_5,Yes,,24-Aug-21,2021,Stenobrachius leucopsarus,Set 4
2021_13_4_185_6,2021_13_4_185_6,Yes,,24-Aug-21,2021,Stenobrachius leucopsarus,Set 4
2021_13_4_185_7,2021_13_4_185_7,Yes,,24-Aug-21,2021,Stenobrachius leucopsarus,Set 4
2021_13_4_185_8,2021_13_4_185_8,Yes,,24-Aug-21,2021,Stenobrachius leucopsarus,Set 4
2021_13_4_185_9,2021_13_4_185_9,Yes,,24-Aug-21,2021,Stenobrachius leucopsarus,Set 4
2021_13_4_185_10,2021_13_4_185_10,Yes,,24-Aug-21,2021,Stenobrachius leucopsarus,Set 4
2021_13_4_185_11,2021_13_4_185_11,Yes,,24-Aug-21,2021,Stenobrachius leucopsarus,Set 4
2021_13_4_189_1,2021_13_4_189_1,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_13_4_189_2,2021_13_4_189_2,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_13_4_189_3,2021_13_4_189_3,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_13_4_189_4,2021_13_4_189_4,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_13_4_189_5,2021_13_4_189_5,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_13_4_189_6,2021_13_4_189_6,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_13_4_189_7,2021_13_4_189_7,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_13_4_189_8,2021_13_4_189_8,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_13_4_189_9,2021_13_4_189_9,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_13_4_189_10,2021_13_4_189_10,Yes,,24-Aug-21,2021,Diaphus theta,Set 4
2021_MQ_198_3A,2021_MQ_198_3A,No,,,2021,Stenobrachius leucopsarus,WCVI 2021_exact location unknown
2021_MQ_200_4,2021_MQ_200_4,Yes,,,2021,Symbolophorus californiensis,WCVI 2021_exact location unknown
2021_MQ_198_2,2021_MQ_198_2,Yes,,,2021,Stenobrachius leucopsarus,WCVI 2021_exact location unknown
2021_MQ_200_2,2021_MQ_200_2,Yes,,,2021,Symbolophorus californiensis,WCVI 2021_exact location unknown
2021_MQ_200_3,2021_MQ_200_3,Yes,,,2021,Symbolophorus californiensis,WCVI 2021_exact location unknown
2021_MQ_193_1,2021_MQ_193_1,No,,,2021,Lampanyctus regalis,WCVI 2021_exact location unknown
2021_MQ_196_3,2021_MQ_196_3,Yes,,,2021,Protomyctophum thompsoni,WCVI 2021_exact location unknown
2021_MQ_193_3B,2021_MQ_193_3B,Yes,Yes,,2021,Stenobrachius leucopsarus,WCVI 2021_exact location unknown
2021_MQ_193_2,2021_MQ_193_2,Yes,Yes,,2021,Stenobrachius leucopsarus,WCVI 2021_exact location unknown
2021_MQ_200_1,2021_MQ_200_1,No,,,2021,Symbolophorus californiensis,WCVI 2021_exact location unknown
2021_MQ_196_1,2021_MQ_196_1,Yes,,,2021,Protomyctophum thompsoni,WCVI 2021_exact location unknown
2021_MQ_196_2,2021_MQ_196_2,No,,,2021,Protomyctophum thompsoni,WCVI 2021_exact location unknown
2021_MQ_198_1,2021_MQ_198_1,No,,,2021,Stenobrachius leucopsarus,WCVI 2021_exact location unknown
